x1,x2,label
0.254018315,-0.402390597,-1
0.180882656,0.510887202,1
0.227152011,0.467714858,1
-0.122832023,0.50263486,1
0.43719255,-0.579591771,-1
0.444119576,0.347945326,1
-0.464392658,0.449186211,1
-0.459897128,0.44526255,1
-0.486362688,0.379272165,1
0.954947621,0.223149772,-1
-0.2027758,0.329165464,1
-1.018602224,0.641328317,1
0.471100045,0.617753181,1
-1.048077865,-1.826868065,-1
0.331793822,0.252452115,1
0.100537805,-0.804403853,-1
-0.555574552,0.542136981,1
-0.536420754,-1.337205553,-1
0.112001905,0.524914452,1
-0.650005573,0.715095693,1
1.024246681,0.167321235,-1
1.625958381,1.062035901,-1
0.401642181,0.570783227,1
0.413838392,-0.451770788,-1
-1.226142733,-2.453063003,-1
-0.104427713,-1.298711004,-1
1.617495863,0.830301715,-1
-1.636663162,0.396486298,1
-2.126390022,0.509365668,1
-0.085127249,0.615922089,1
0.353358304,-0.410536207,-1
0.322885099,-0.588429026,-1
0.629429532,0.117700926,-1
-0.633366932,0.517999681,1
-0.734488464,0.231927302,1
-0.38947316,-1.785341446,-1
-0.524817522,0.663211655,1
0.702723917,0.019594027,-1
0.332705534,-0.450530698,-1
-1.388115944,0.694520829,1
-0.111299062,-1.134865949,-1
0.411832248,-0.505857352,-1
-0.361197064,-1.184827248,-1
-1.121586339,0.365317754,1
1.933189828,1.586126594,-1
0.008989055,-1.127555923,-1
0.396480428,-0.393743411,-1
1.298197722,0.362916877,-1
-0.469537451,-1.692791791,-1
0.319381094,0.475756941,1
0.755130878,-0.256356227,-1
-0.519354324,0.513283699,1
-1.769536171,-3.111614283,-1
-0.073669964,0.3717701,1
-2.416556101,-3.638147438,-1
1.292788602,0.207271632,-1
1.388794517,0.44994926,1
-1.419965475,0.725241933,1
1.349444219,0.630784548,-1
-0.038229536,-1.146982296,-1
-0.910419275,0.458367865,1
-1.096227863,0.355953754,1
-0.266295211,0.506869186,1
0.204959329,0.742540055,1
-0.623815562,-1.544744419,-1
-0.259749074,0.401524781,1
-0.777829266,0.428701367,1
-0.621373065,0.559170941,1
-0.367306671,0.558623579,1
-1.534010986,0.682023883,1
1.593993333,0.970971023,-1
3.118668988,2.339831363,-1
-0.148672296,0.583238684,1
-0.032872261,0.396737745,1
0.364347449,-0.73496285,-1
-2.142366621,0.697820544,1
-1.128625998,-2.488633189,-1
1.621103291,0.548276673,-1
-0.558041516,-1.224838192,-1
-0.836714688,-1.902447601,-1
-0.395454668,0.365675037,1
1.52908888,0.920819386,-1
0.381683555,-0.800292109,-1
-0.540516387,-1.64363281,-1
-0.228999078,-1.124207227,-1
1.161746714,0.268909048,-1
-0.237166388,0.60019883,1
0.534921251,-0.305094696,-1
-0.832366342,-1.667820972,-1
-0.195202974,0.297565227,1
-0.752363682,-1.628876087,-1
-1.648529492,0.288428587,1
0.18703085,0.507724498,1
1.028865891,0.467007214,-1
-0.719107341,0.297323431,1
-1.155543147,0.555798032,1
0.454482459,-0.593547656,-1
-0.478453109,0.588855074,1
-0.565537729,0.38007419,1
-0.16596486,-1.571169254,-1
0.463406172,-0.071050928,-1
0.344307495,0.654457104,1
1.357708798,0.467901709,-1
0.568181492,-0.720792234,-1
0.894483463,-0.367715627,-1
0.256534649,0.499868316,1
-1.039069587,0.657312262,1
-0.11295277,0.542349544,1
0.633177453,0.454063544,1
-1.299546942,0.686739003,1
0.409388716,-0.534308634,-1
2.793618408,2.154593681,-1
-1.31704902,0.587796879,1
1.269010485,0.347915104,-1
0.106542266,-1.010121362,-1
0.846242509,0.145337398,1
-0.907909782,-2.062211073,-1
-1.465138781,0.364732975,1
-0.391560924,0.613998453,1
0.624797619,-0.424360712,-1
0.420387583,-0.38822792,-1
-0.264618011,0.539444988,1
-0.168703597,-1.261490477,-1
1.444296489,0.279442681,-1
1.202280086,-0.000347132,-1
1.710312483,0.961680183,-1
0.72872067,-0.203774513,-1
-0.968044233,0.519527361,1
0.410315714,0.587733119,1
0.371939855,-0.468829314,-1
1.589795237,0.843828294,-1
0.248082671,0.510212805,1
0.210360058,-0.914965868,-1
0.129100425,0.341991961,1
0.501285035,-0.263153952,-1
0.65204483,0.575919469,1
-0.001193818,0.500983416,1
0.387380684,0.714669733,1
1.15570347,0.502584129,-1
0.78310369,0.641614415,1
