feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,label
1.604669248,-1.261441212,0.194329821,-0.064536222,0.560620767,0.07963911,1.214225788,-0.129016917,-0.043977266,-0.196995879,-0.228188988,2.172019779,0.539155718,-1.230655791,2.057175133,-0.833167645,-0.005147922,0.708082217,1.641509023,0.592299133,-1.874419601,-0.69500303,-0.033362385,-0.494246385,-1.022854812,-0.210674739,0.309093912,-0.24916984,0.869742238,0.715476338,1.064014413,-0.960276458,0.85516373,-0.458013365,2.579422151,-0.843627567,-2.034445177,-1.193661911,-0.386590412,0.105959575,0.326819952,0.866320165,0.14827005,-2.018827996,0.545983991,-0.467003528,-0.768818017,-0.039610678,-0.988570225,1.184681195,3
0.190031796,0.686016462,0.864393756,1.328646354,-1.289170816,0.759896411,0.118746264,0.769215308,-0.236607282,-0.882452335,-0.182476083,-0.852392092,-0.368907311,-0.870986308,-0.296599398,-0.07013233,0.50764435,-1.832926299,1.150711784,-0.622937525,-1.519036149,-1.191427786,-0.867569542,-0.42352486,-0.576414691,-1.057695913,-0.383445691,-0.309676854,0.914806554,-0.739344962,0.37033042,0.648031215,1.25830988,1.146521343,0.202178818,-0.454440266,-2.205071779,1.69132843,0.313939541,-1.590081718,0.520513482,-1.230538994,2.892835089,0.138290236,1.356887391,-1.88244961,1.162030774,-0.993828689,-0.499750795,1.848213169,0
-0.043053097,0.28744562,0.493378586,2.755498694,1.037614577,0.575558242,-0.111901919,-0.73296267,-0.289087929,0.258031943,-0.945453052,-0.693422772,-0.867973656,-0.034511729,-0.258513986,-1.647148233,1.117139943,-0.861753968,-1.599977418,-1.307824189,-1.150630637,0.220235881,-0.28895766,0.164984936,-0.469296184,0.096253699,-1.338179357,-0.028012124,-0.143660523,-1.198483606,-0.777033375,-0.508913068,-1.275515164,1.483827601,0.793895781,2.080870077,1.399242342,-0.228529625,-0.760896209,0.621291901,1.05684988,-0.008735134,-1.286901909,0.960203931,-1.841370293,-0.44632931,-0.127470439,0.747295174,0.358388384,-0.605805736,2
0.758157724,-1.149366092,2.942335742,0.405306049,-1.427898464,-1.142600924,-0.923241427,-1.243218531,-0.081202339,-0.146891753,-0.783401843,0.527263246,-1.197435334,-0.286767829,0.440734195,-0.809184668,-0.186585569,-2.49643845,1.225520366,-1.595438998,-2.952480824,0.078370154,1.29545037,0.340424697,1.35900203,1.064065339,-2.304236394,-1.269307435,-0.415594921,-0.103368862,0.037805102,-1.228884201,0.88530585,0.472952788,-1.136895788,-0.270448482,0.658073908,-0.336920111,-0.841187822,-0.689796264,-0.33349677,-1.047229028,1.427673551,-0.491242863,-0.883517488,-0.370550276,1.473523992,-1.33966333,0.651884426,-0.700813897,0
-0.514857397,0.963143934,-0.622727279,-1.121041179,1.530629911,0.134617355,-0.484843753,-0.394282456,-0.310571764,-0.578734661,-0.130614984,1.254714895,0.010784958,1.222861683,0.180038758,-1.095287344,-0.296671167,4.361973934,0.906069787,0.880224744,2.526604154,0.471117517,0.653213695,-1.482243142,1.20781279,-0.814953954,0.576474932,-0.886226136,0.377641054,0.293407431,0.034845424,1.432385745,-0.849499355,-0.141756985,-0.683532411,-0.549826842,0.43534929,1.775459447,1.1677462,1.981046252,-0.493869946,0.049373806,-0.522090463,0.04001729,-0.116462608,0.792730744,0.643727358,0.3795593,0.251413764,-0.29372993,2
1.109286996,0.432304848,-0.813824852,-0.424480461,2.024072392,-0.766205736,-0.676978175,1.856829427,0.413484124,0.501070306,2.571105042,-1.217253362,-0.136613161,0.428790377,0.57285987,-0.320347394,-0.359083638,1.708238933,1.131160389,0.266910714,-1.353031411,-2.03445294,0.886750486,1.641899763,0.217495447,-0.00914453,0.640188232,-0.12956891,0.057320814,-0.671849828,0.491975696,-0.938079361,0.225857205,-1.734002901,0.771198598,0.67849824,0.018530126,-3.325223886,1.02169533,0.680767119,-0.807172992,1.209220192,0.176380649,0.423473293,-0.194790538,-1.473237411,1.152357007,-0.169206831,0.945418979,-1.818488259,0
1.104470126,-0.69095548,-0.443803525,0.097571846,0.607036242,-0.65617321,0.464187588,1.541457285,-0.592108789,1.21994649,-0.860271823,-0.38989269,-0.157159156,0.49143175,0.772365189,2.320188147,0.877391697,1.97885187,-1.223424451,0.172667641,0.540916435,0.670503015,0.214629808,-1.452497638,-0.754927966,-0.915417496,-1.841074101,-1.430299431,-0.084874406,-1.266813908,0.254530882,1.096429455,-0.837533354,-1.319228883,0.171013311,2.004565614,-0.848532592,1.644081032,-0.000990799,1.02816199,-0.909800374,0.085365937,-0.366146102,0.017090256,1.002146998,-1.659044306,-0.181037918,-0.177814319,-0.956407452,0.651457763,0
1.8664248,0.213675864,0.021432177,0.046209593,2.086928399,0.333889257,-0.194006104,0.886433608,0.415152141,-0.730718737,0.608143148,-0.906338504,0.615644485,-0.34015526,-0.234372366,-0.323425723,-0.5706723,-2.656695561,0.202468929,1.075286698,-1.151501151,0.9553744,0.400369984,1.449334136,2.114521747,1.169793895,0.514229897,-0.980793295,-0.368109957,-0.208902012,0.379793206,-0.330382194,0.495089967,-1.328660381,1.903369251,0.905304104,0.131310229,0.281088077,-2.160053685,0.26910413,-1.659201211,1.348281521,1.260684404,-1.733146758,-0.857072879,-1.662319504,0.349394351,0.161309232,-0.53890001,-0.224432032,3
1.034933508,-0.507524837,-2.842189779,-0.453500934,-1.233425425,0.149382621,1.48153991,0.297267814,-2.362037162,1.236947267,0.068900848,0.187391695,1.341759749,0.647023614,0.160576959,-1.556287615,-0.619516169,-2.319203513,0.431138435,-1.366122413,0.311996292,-0.588123559,0.332212249,-1.351949105,-0.114161868,0.296395251,-1.064706626,-2.620644323,0.069909854,0.67987724,0.41058115,0.400669933,1.150710203,0.600460662,0.280859102,-2.262597667,0.054106439,1.139785561,2.086346401,-0.11912944,0.391175015,-2.275540694,1.004440575,1.495195331,0.570933479,-0.112351353,-0.833740382,-1.097140786,0.547863447,-0.504452242,1
2.055676939,-0.000290305,0.80388243,-0.087014676,-1.05762183,0.181935475,-2.289497881,1.045005962,0.844652385,0.38078984,0.709273729,-1.069426319,1.612698562,-1.816530267,0.63029559,0.153846886,0.932434869,0.624314764,-0.366427248,0.783947509,-0.606463071,0.188836839,0.72111516,0.028595399,1.179191772,0.379998399,0.920092856,-0.048354388,-0.004021914,2.238364455,-1.681393409,-0.70531982,-0.504183482,-0.078459492,-0.561378424,1.143092723,-1.264878716,-0.765595815,1.305862289,-0.8267406,0.541012393,0.797370628,0.036472711,0.650517938,0.42688654,-1.132123809,0.945253289,0.739307928,-1.225544085,1.317328965,1
